MAX_LEN,MAX_THRESHOLD,MIN_LEN,MIN_THRESHOLD,N_ASSEMBLIES,SPECIES
2501122,2751234.2,2486042,2237437.8000000003,2,Staphylococcus warneri
2836901,3120591.1,2757557,2481801.3000000003,3,Staphylococcus xylosus
4765023,5241525.300000001,4765023,4288520.7,1,Starkeya novella
4138297,4552126.7,4138297,3724467.3000000003,1,Stenotrophomonas acidaminiphila
4989312,5488243.2,4509724,4058751.6,11,Stenotrophomonas maltophilia
4541729,4995901.9,4541729,4087556.1,1,Stenotrophomonas nitritireducens
4648976,5113873.600000001,4198652,3778786.8000000003,2,Stenotrophomonas rhizophila
5017753,5517753.0,4541594,4087434.6,2,Stenotrophomonas sp.
3467246,3813970.6,3467246,3120521.4,1,Steroidobacter denitrificans
959779,1055756.9000000001,959779,863801.1,1,Strawberry lethal
9915093,10415093.0,9915093,9415093.0,1,Streptacidiphilus albus
1662578,1828835.8,1662578,1496320.2,1,Streptobacillus moniliformis
2243708,2468078.8000000003,1996151,1796535.9000000001,25,Streptococcus agalactiae
2233640,2457004.0,1911706,1720535.4000000001,6,Streptococcus anginosus
2121533,2333686.3000000003,2121533,1909379.7,1,Streptococcus australis
2267856,2494641.6,2267856,2041070.4000000001,1,Streptococcus canis
1991156,2190271.6,1935414,1741872.6,3,Streptococcus constellatus
2417851,2659636.1,2417851,2176065.9,1,Streptococcus criceti
1974142,2171556.2,1974142,1776727.8,1,Streptococcus cristatus
2179445,2397389.5,2106340,1895706.0,6,Streptococcus dysgalactiae
2253793,2479172.3000000003,2024171,1821753.9000000001,5,Streptococcus equi
2066806,2273486.6,1930741,1737666.9000000001,2,Streptococcus equinus
2362241,2598465.1,2052496,1847246.4000000001,5,Streptococcus gallolyticus
2283306,2511636.6,2196662,1976995.8,2,Streptococcus gordonii
1988420,2187262.0,1818293,1636463.7,2,Streptococcus infantarius
1883688,2072056.8000000003,1883688,1695319.2,1,Streptococcus infantis
2149844,2364828.4000000004,2070182,1863163.8,5,Streptococcus iniae
1996214,2195835.4000000004,1908201,1717380.9000000001,4,Streptococcus intermedius
1975547,2173101.7,1975547,1777992.3,1,Streptococcus lutetiensis
1916985,2108683.5,1916985,1725286.5,1,Streptococcus macacae
2130034,2343037.4000000004,2130034,1917030.6,1,Streptococcus macedonicus
2167922,2384714.2,1748508,1573657.2,5,Streptococcus mitis
2032925,2236217.5,2013587,1812228.3,5,Streptococcus mutans
2142100,2356310.0,2142100,1927890.0,1,Streptococcus oligofermentans
2061353,2267488.3000000003,1958690,1762821.0,2,Streptococcus oralis
2171609,2388769.9000000004,2007789,1807010.1,3,Streptococcus parasanguinis
2164480,2380928.0,2143887,1929498.3,2,Streptococcus parauberis
2100077,2310084.7,2100077,1890069.3,1,Streptococcus pasteurianus
1633971,1797368.1,1633971,1470573.9000000001,1,Streptococcus peroris
2245615,2470176.5,1983415,1785073.5,31,Streptococcus pneumoniae
2025881,2228469.1,2025881,1823292.9000000001,1,Streptococcus porcinus
2190731,2409804.1,2190731,1971657.9000000001,1,Streptococcus pseudopneumoniae
1878699,2066568.9000000001,1759362,1583425.8,74,Streptococcus pyogenes
